bout,baʊt
duca,dukə
duce,dus
duch,dətʃ
duck,dək
duct,dəkt
duda,dudə
dudd,dəd
dude,dud
duds,dədz
duel,duəɫ
duer,duɝ
dues,duz
duet,djuɛt
duet,duɛt
duey,djui
duey,dui
duff,dəf
dugo,duɡoʊ
duhe,duh
duhr,dɝ
duis,dijuaɪz
duis,duɪz
duke,duk
dula,duɫə
dule,duɫ
dull,dəɫ
duly,duɫi
duma,dumə
dumb,dəm
dumm,dəm
dump,dəmp
duns,dənz
duna,dunə
dunc,dəŋk
dune,dun
dunk,dəŋk
dunn,dən
duns,dənz
dupe,dup
dura,dʊɹə
duri,dʊɹi
durn,dɝn
duro,dʊɹoʊ
durr,dɝ
dury,dʊɹi
dush,dəʃ
dush,duʃ
dusk,dəsk
dust,dəst
dutt,dət
duty,djuti
duty,duti
duva,duvə
duve,duv
duwe,duw
dvds,dividiz
dwan,dwɑn
dyad,daɪæd
dyal,daɪəɫ
dyar,daɪɝ
dyas,daɪəs
dyce,daɪs
dyck,daɪk
dyco,daɪkoʊ
dyed,daɪd
dyer,daɪɝ
dyes,daɪz
dyke,daɪk
dzik,dzɪk
each,itʃ
eade,id
eads,idz
eads,idz
eady,idi
ealy,iɫi
earn,ɝn
earp,ɝp
ears,iɹz
ears,ɪɹz
eary,ɪɹi
ease,iz
eash,iʃ
east,ist
easy,izi
eats,its
eaux,oʊ
eaux,oʊz
eave,iv
eban,ɛbən
eban,ibən
ebay,ibeɪ
ebba,ɛbə
ebbs,ɛbz
ebby,ɛbi
ebel,ɛbəɫ
eben,ɛbən
eber,ɛbɝ
ebey,ɛbi
eble,ɛbəɫ
ebro,ibɹoʊ
ecad,ikæd
eckl,ɛkəɫ
econ,ikɑn
ecru,ɛkɹu
edam,idəm
edan,idən
edds,ɛdz
edel,ɛdəɫ
eder,ɛdɝ
edes,idz
edge,ɛdʒ
edgy,ɛdʒi
edin,ɛdɪn
edit,ɛdət
edye,ɛdi
edye,idi
eels,iɫz
efaw,ɛfɔ
effy,ɛfi
efta,ɛftə
egan,iɡən
eger,iɡɝ
egge,ɛɡ
eggs,ɛɡz
egle,ɛɡəɫ
egli,ɛɡɫi
egly,ɛɡɫi
egon,iɡɑn
egon,iɡən
egos,iɡoʊz
ehle,ɛɫ
ehly,ɛɫi
ehud,ɛhəd
eich,aɪk
eick,aɪk
eide,aɪd
eiji,eɪdʒi
eike,aɪk
eisa,eɪsə
ejup,idʒəp
ejup,idʒup
ekco,ɛkoʊ
eked,ikt
elam,ɛɫəm
elan,iɫən
elat,ɛɫæt
elbe,ɛɫb
elco,ɛɫkoʊ
elek,ɛɫɪk
eley,iɫi
elfs,ɛɫfs
elga,ɪɫɡɑ
elie,ɛɫi
elio,ɛɫioʊ
elko,ɛɫkoʊ
elks,ɛɫks
elle,ɛɫ
ells,ɛɫz
elms,ɛɫmz
elvy,ɛɫvi
elyn,ɛɫɪn
elzy,ɛɫzi
emad,imæd
emch,ɛmtʃ
emco,ɛmkoʊ
emde,ɛmd
emdr,iɛmdiɑɹ
emel,ɛməɫ
emge,ɛmdʒ
emig,ɛmɪɡ
emir,eɪmɪɹ
emir,ɪmɪɹ
emit,ɪmɪt
emme,ɛm
emmi,ɛmi
empt,ɛmpt
empt,ɛmt
emry,ɛmɹi
enck,ɛŋk
ende,ɛnd
endo,ɛndoʊ
ends,ɛndz
endy,ɛndi
enea,ɛniə
enex,inəks
enge,ɛndʒ
engh,ɛŋ
enis,ɛnɪs
enix,ɛnɪks
enke,ɛŋk
enlo,ɛnɫoʊ
enns,ɛnz
enos,inəs
enro,ɛnɹoʊ
ensz,ɛnʃ
ente,ɛnteɪ
entz,ɛnts
envy,ɛnvi
enzo,ɛnzoʊ
eoff,eɪɔf
eons,iənz
eoss,iɑsəz
epes,ips
epic,ɛpɪk
epps,ɛps
eras,ɛɹəz
eras,ɪɹəz
eras,ɪɹəz
erbe,ɝb
erby,ɝbi
erck,ɝk
erda,ɛɹdə
ergo,ɝɡoʊ
erie,ɪɹi
erle,ɛɹɫə
erly,ɝɫi
erne,ɝn
erno,ɛɹnoʊ
erny,ɝni
eroh,ɛɹoʊ
erol,ɛɹəɫ
eron,ɪɹɑn
eros,ɪɹɑs
erps,ɝps
erra,ɛɹə
errs,ɛɹz
erte,ɝt
erte,ɝteɪ
ertl,ɝtəɫ
ertz,ɝts
esau,isɔ
esch,ɛʃ
esco,ɛskoʊ
esme,ɛzm
espe,ɛsp
espn,iɛspiɛn
espy,ɛspi
essa,ɛsə
esse,ɛs
esso,ɛsoʊ
este,ɛsteɪ
esty,ɛsti
etch,ɛtʃ
etna,ɛtnə
eton,itən
etsu,ɛtsu
etsy,ɛtsi
etty,ɛti
euan,juən
eudy,judi
eure,ɝ
euro,juɹoʊ
euro,jʊɹə
euro,jʊɹoʊ
eury,juɹi
evas,eɪvəz
evas,ivəz
evel,ɛvəɫ
even,ivɪn
ever,ɛvɝ
eves,ivz
evil,ivəɫ
evin,ɛvɪn
ewan,juən
ewen,juən
ewer,juɝ
ewes,juz
ewig,juɪɡ
exam,ɪɡzæm
exar,ɛksɝ
exco,ɛkskoʊ
exec,ɛɡzɛk
exel,ɛksəɫ
exes,ɛksɪz
exim,ɛksɪm
exit,ɛɡzɪt
exit,ɛksət
exon,ɛksɔn
expo,ɛkspoʊ
exum,ɪɡzəm
eyde,eɪd
eyes,aɪz
eyed,aɪd
eyer,aɪɝ
eyes,aɪz
eyes,aɪz
eyre,ɛɹ
ezer,ɛzɝ
ezoe,ɛzoʊ
ezzo,ɛzoʊ
faal,fɑɫ
faas,fɑz
face,feɪs
fact,fækt
fade,feɪd
fads,fædz
fagg,fæɡ
fags,fæɡz
fahd,fɑd
fahl,fɑɫ
fahr,fɑɹ
fahs,fæs
fahy,feɪhi
fail,feɪɫ
fain,feɪn
fair,fɛɹ
fait,feɪt
fake,feɪk
falb,fɔɫb
falk,fɔk
fall,fɑɫ
fall,fɔɫ
fama,fɑmə
fame,feɪm
fans,fænz
fane,feɪn
fang,fæŋ
fann,fæn
fans,fænz
fans,fænz
fant,fænt
fars,fɑɹz
farb,fɑɹb
fare,fɛɹ
farm,fɑɹm
faro,fɛɹoʊ
farr,fɑɹ
fart,fɑɹt
faso,fɑsoʊ
fass,fæs
fast,fæst
fata,fɑtə
fate,feɪt
fath,fæθ
fats,fæts
faul,fɔɫ
faus,fɔz
faux,fɔks
fava,fɑvə
fave,feɪv
fays,feɪz
faze,feɪz
fbis,ɛfbiaɪz
fccs,ɛfsisiz
fear,fɪɹ
feat,fit
feck,fɛk
feds,fɛdz
fede,fid
feds,fɛdz
feed,fid
feel,fiɫ
fees,fiz
feet,fit
fehl,fɛɫ
fehn,fɛn
fehr,fɛɹ
feig,fiɡ
feil,fiɫ
fein,faɪn
fein,feɪn
feis,faɪs
feit,faɪt
fela,fɛɫə
feld,fɛɫd
fell,fɛɫ
fels,fɛɫz
felt,fɛɫt
fema,fimə
fend,fɛnd
feng,fɛŋ
fenn,fɛn
fent,fɛnt
fera,fɛɹə
ferd,fɝd
ferg,fɝɡ
ferm,fɝm
fero,fɛɹoʊ
fery,fɛɹi
fess,fɛs
fest,fɛst
feta,fɛtɑ
fete,feɪt
fett,fɛt
fetz,fɛts
feud,fjud
feur,fɝ
fiat,faɪæt
fica,faɪkə
fick,fɪk
fico,fikoʊ
fide,faɪd
fido,faɪdoʊ
fief,fif
fiel,fiɫ
fier,fɪɹ
fifa,fɪfɑ
fife,faɪf
fifi,fifi
figg,fɪɡ
figs,fɪɡz
fiji,fidʒi
fike,faɪk
fila,faɪɫə
file,faɪɫ
fill,fɪɫ
film,fɪɫm
filo,fiɫoʊ
fima,fimə
fina,faɪnə
find,faɪnd
fine,faɪn
fini,fini
fink,fɪŋk
finn,fɪn
fino,finoʊ
fins,fɪnz
fire,faɪɝ
fire,faɪɹ
firm,fɝm
firs,fɝz
fisc,fɪsk
fish,fɪʃ
fisk,fɪsk
fiss,fɪs
fist,fɪst
fite,faɪt
fits,fɪts
fitt,fɪt
fitz,fɪts
five,faɪv
fizz,fɪz
flab,fɫæb
flad,fɫæd
flag,fɫæɡ
flak,fɫæk
flam,fɫæm
flan,fɫæn
flap,fɫæp
flat,fɫæt
flaw,fɫɔ
flax,fɫæks
flay,fɫeɪ
flea,fɫi
fled,fɫɛd
flee,fɫi
flew,fɫu
flex,fɫɛks
flim,fɫɪm
flip,fɫɪp
flis,fɫɪs
flit,fɫɪt
floc,fɫɑk
floe,fɫoʊ
flog,fɫɑɡ
flom,fɫɑm
flop,fɫɑp
flow,fɫoʊ
flud,fɫəd
flue,fɫu
flus,fɫuz
flux,fɫəks
flye,fɫaɪ
fnma,ɛfɛnɛmeɪ
fnma,fænimeɪ
foal,foʊɫ
foam,foʊm
foes,foʊz
fogg,fɑɡ
fogs,fɔɡz
fogt,fɑɡt
fogy,foʊɡi
fohl,foʊɫ
foia,ɛfoʊaɪeɪ
foia,foʊjə
foie,fɔɪ
foil,fɔɪɫ
fold,foʊɫd
folk,foʊk
folz,foʊɫz
fond,fɑnd
fone,foʊn
fong,fɔŋ
fons,fɑnz
font,fɑnt
fonz,fɑnz
food,fud
fool,fuɫ
foor,fʊɹ
foos,fuz
foot,fʊt
fora,fɔɹə
ford,fɔɹd
fore,fɔɹ
fork,fɔɹk
form,fɔɹm
forr,fɔɹ
fors,fɝz
fort,fɔɹt
foss,fɑs
foth,fɑθ
foti,foʊti
foul,faʊɫ
four,fɔɹ
fout,faʊt
fowl,faʊɫ
foxs,fɑksəz
foxx,fɑks
foxy,fɑksi
foye,fɔɪ
foyt,fɔɪt
fram,fɹæm
frap,fɹæp
frau,fɹaʊ
fray,fɹeɪ
free,fɹi
frei,fɹaɪ
frel,fɹɛɫ
fret,fɹɛt
frew,fɹu
frey,fɹeɪ
frie,fɹaɪ
fril,fɹɪɫ
frix,fɹɪks
frog,fɹɑɡ
froh,fɹoʊ
from,fɹəm
frum,fɹəm
frys,fɹaɪz
frye,fɹaɪ
fuck,fək
fudo,fjudoʊ
fuel,fjuəɫ
fuel,fjuɫ
fuer,fjuɹ
fuge,fjudʒ
fuhr,fʊɹ
fuhs,fəs
fuji,fudʒi
fuke,fuk
fuld,fʊɫd
fulk,fəɫk
full,fʊɫ
fulp,fʊɫp
fume,fjum
fumi,fjumi
fumi,fumi
fund,fənd
fung,fəŋ
funk,fəŋk
funs,fənz
furr,fɝ
furs,fɝz
fury,fjʊɹi
fuse,fjuz
fuss,fəs
fust,fəst
fuzz,fəz
fyfe,faɪf
fyke,faɪk
gaal,ɡɑɫ
gaar,ɡɑɹ
gaba,ɡɑbə
gabe,ɡeɪb
gaby,ɡæbi
gach,ɡætʃ
gacy,ɡeɪsi
gadd,ɡæd
gade,ɡeɪd
gads,ɡædz
gaea,ɡiə
gael,ɡeɪɫ
gaff,ɡæf
gaga,ɡɑɡə
gage,ɡeɪdʒ
gags,ɡæɡz
gahm,ɡæm
gahn,ɡæn
gahr,ɡɑɹ
gaia,ɡaɪə
gain,ɡeɪn
gair,ɡɛɹ
gait,ɡeɪt
gali,ɡɑɫi
gall,ɡɔɫ
gals,ɡæɫz
galt,ɡɔɫt
gama,ɡɑmə
game,ɡeɪm
gamm,ɡæm
gamp,ɡæmp
gang,ɡæŋ
gann,ɡæn
gano,ɡɑnoʊ
gans,ɡænz
gant,ɡænt
ganz,ɡænz
gaps,ɡæps
gape,ɡeɪp
gapp,ɡæp
gaps,ɡæps
gara,ɡæɹə
garb,ɡɑɹb
gard,ɡɑɹd
gare,ɡɛɹ
garg,ɡɑɹɡ
gari,ɡɑɹi
garl,ɡɑɹɫ
garn,ɡɑɹn
garo,ɡɛɹoʊ
garp,ɡɑɹp
garr,ɡæɹ
gars,ɡɑɹz
gass,ɡæsɪz
gase,ɡeɪz
gash,ɡæʃ
gasp,ɡæsp
gass,ɡæs
gast,ɡæst
gate,ɡeɪt
gath,ɡæθ
gatt,ɡæt
gatx,ɡætɛks
gatz,ɡæts
gaub,ɡɔb
gaul,ɡɔɫ
gaus,ɡɔz
gaut,ɡɔt
gave,ɡeɪv
gawk,ɡɔk
gays,ɡeɪz
gaza,ɡɑzə
gaze,ɡeɪz
geac,dʒiieɪsi
geac,ɡik
gean,dʒin
gear,ɡɪɹ
gebo,dʒeɪboʊ
geck,dʒɛk
gees,dʒiz
geek,ɡik
geer,ɡɪɹ
gees,dʒis
geez,dʒiz
gegg,dʒɛɡ
gehl,ɡɛɫ
gehm,dʒɛm
gehr,dʒɛɹ
geib,ɡaɪb
geil,ɡaɪɫ
geis,ɡaɪz
gelb,dʒɛɫb
gell,dʒɛɫ
gels,dʒɛɫz
gems,dʒɛmz
gems,dʒɛmz
geng,dʒɛŋ
genk,dʒɛŋk
geno,dʒinoʊ
gens,dʒɛnz
gent,dʒɛnt
genz,dʒɛnz
geon,dʒiɑn
gera,dʒɛɹə
gerd,ɡɝd
gere,ɡɪɹ
gerk,ɡɝk
germ,dʒɝm
gero,dʒɛɹoʊ
gert,ɡɝt
gery,dʒɛɹi
gess,dʒɛs
gest,dʒɛst
gets,ɡɛts
gets,ɡɪts
getz,ɡɛts
geva,ɡeɪvə
ghee,ɡi
ghez,ɡɛz
ghio,ɡaɪoʊ
gias,dʒiəz
gian,dʒiɑn
giap,dʒjæp
giap,dʒiæp
gibb,dʒɪb
gibe,dʒaɪb
gick,dʒɪk
gide,ʒid
giel,dʒiɫ
gier,dʒɪɹ
gies,ɡiz
giff,ɡɪf
gift,ɡɪft
gigs,ɡɪɡz
gila,ɡiɫə
gilb,ɡɪɫb
gild,ɡɪɫd
gile,ɡaɪɫ
gill,ɡɪɫ
gilt,ɡɪɫt
ging,dʒɪŋ
ginn,dʒɪn
gipe,dʒaɪp
gipp,dʒɪp
gird,ɡɝd
gire,ɡaɪɹ
girl,ɡɝɫ
girt,ɡɝt
gish,dʒɪʃ
gish,ɡɪʃ
gisi,dʒisi
gist,dʒɪst
gisu,dʒɪsu
give,ɡɪv
giza,ɡizə
giza,ɡɪzə
glab,ɡɫæb
glad,ɡɫæd
glam,ɡɫæm
glas,ɡɫæs
glee,ɡɫi
glew,ɡɫu
glib,ɡɫɪb
glob,ɡɫɑb
glod,ɡɫɑd
gloe,ɡɫoʊ
glop,ɡɫɑp
glor,ɡɫɔɹ
glow,ɡɫoʊ
glue,ɡɫu
glum,ɡɫəm
glut,ɡɫət
glyn,ɡɫɪn
gmbh,dʒiɛmbieɪtʃ
gmbh,ɡəm
gnat,næt
gnau,naʊ
gnaw,nɔ
goad,ɡoʊd
goal,ɡoʊɫ
goan,ɡoʊn
goar,ɡɔɹ
goat,ɡoʊt
gobi,ɡoʊbi
gobs,ɡɑbz
gods,ɡɑdz
goda,ɡoʊdə
gods,ɡɑdz
goen,ɡoʊn
goer,ɡoʊɝ
goes,ɡoʊz
goff,ɡɔf
goga,ɡoʊɡə
gogh,ɡoʊ
gogo,ɡoʊɡoʊ
gohl,ɡoʊɫ
gohn,ɡɑn
gohr,ɡɑɹ
goin,ɡɔɪn
goin,ɡoʊən
gola,ɡoʊɫə
gold,ɡoʊɫd
golf,ɡɑɫf
golf,ɡɔɫf
goll,ɡɑɫ
golz,ɡoʊɫz
goma,ɡoʊmə
gond,ɡɑnd
gone,ɡɔn
gong,ɡɔŋ
good,ɡʊd
good,ɡɪd
goof,ɡuf
gook,ɡʊk
goon,ɡun
goop,ɡup
goos,ɡuz
gopi,ɡoʊpi
gora,ɡɔɹə
gore,ɡɔɹ
gori,ɡɔɹi
gorr,ɡɔɹ
gort,ɡɔɹt
gory,ɡɔɹi
gosa,ɡoʊsə
gose,ɡoʊz
gosh,ɡɑʃ
goss,ɡɔs
goth,ɡɑθ
goto,ɡoʊtu
goto,ɡoʊtoʊ
gott,ɡɑt
gotz,ɡɑts
gout,ɡaʊt
gove,ɡoʊv
govs,ɡɑvɝnɝz
govs,ɡɑvz
gown,ɡaʊn
goya,ɡɔɪə
goza,ɡoʊzə
gozo,ɡoʊzoʊ
grab,ɡɹæb
grad,ɡɹæd
graf,ɡɹæf
gram,ɡɹæm
gran,ɡɹæn
gras,ɡɹæs
gras,ɡɹɑ
grau,ɡɹaʊ
graw,ɡɹɔ
gray,ɡɹeɪ
greb,ɡɹɛb
gren,ɡɹɛn
grew,ɡɹu
grey,ɡɹeɪ
grid,ɡɹɪd
grim,ɡɹɪm
grin,ɡɹɪn
grip,ɡɹɪp
grit,ɡɹɪt
griz,ɡɹɪz
grob,ɡɹɑb
grog,ɡɹɑɡ
groh,ɡɹoʊ
grom,ɡɹɑm
gros,ɡɹoʊs
grow,ɡɹoʊ
grua,ɡɹuə
grub,ɡɹəb
grue,ɡɹu
grum,ɡɹəm
grun,ɡɹən
guam,ɡwɑm
guay,ɡeɪ
guba,ɡubə
guck,ɡək
gude,ɡjud
guel,ɡɛɫ
guez,ɡɛz
guff,ɡəf
guhl,ɡəɫ
guin,ɡɪn
gula,ɡjuɫə
gulf,ɡəɫf
gull,ɡəɫ
gulp,ɡəɫp
gumi,ɡumi
gumm,ɡəm
gump,ɡəmp
gums,ɡəmz
gumz,ɡəmz
guns,ɡənz
gung,ɡəŋ
gunn,ɡən
guns,ɡənz
gura,ɡʊɹə
gurr,ɡɝ
guru,ɡuɹu
guse,ɡjuz
gush,ɡəʃ
guss,ɡəs
gust,ɡəst
guth,ɡuθ
guts,ɡəts
gutt,ɡət
guys,ɡaɪz
guys,ɡaɪz
guys,ɡaɪz
guza,ɡjuzə
guzy,ɡjuzi
gway,dʒiweɪ
gway,ɡweɪ
gwin,ɡwɪn
gyms,dʒɪmz
gyms,dʒɪmz
gyro,dʒaɪɹoʊ
haab,hɑb
haaf,hɑf
haag,hɑɡ
haak,hɑk
haan,hɑn
haar,hɑɹ
haas,hɑs
habs,hæbz
haby,heɪbi
hach,hætʃ
hack,hæk
hada,hɑdə
hadd,hæd
hade,heɪd
haen,hin
haff,hæf
haft,hæft
haga,hɑɡə
hage,heɪdʒ
hagg,hæɡ
hagy,heɪɡi
hahl,hɑɫ
hahm,hæm
hahn,hɑn
hahs,hɑs
haid,heɪd
haig,heɪɡ
haik,heɪk
hail,heɪɫ
haim,haɪm
haim,heɪm
hain,heɪn
hair,hɛɹ
hait,heɪt
hajj,hædʒ
hake,heɪk
hals,hæɫz
hald,hɔɫd
hale,heɪɫ
half,hæf
hall,hɔɫ
halm,hɑm
halo,heɪɫoʊ
halt,hɔɫt
hama,hɑmə
hamm,hæm
hamp,hæmp
hams,hæmz
hans,hænz
hans,hɑnz
hand,hænd
hane,heɪn
hanf,hænf
hani,hæni
hann,hæn
hano,hɑnoʊ
hany,heɪni
happ,hæp
haqs,hæks
hara,hɛɹə
harb,hɑɹb
harc,hɑɹk
hard,hɑɹd
hare,hɛɹ
hari,hɑɹi
hark,hɑɹk
harl,hɑɹɫ
harm,hɑɹm
harn,hɑɹn
haro,hɑɹoʊ
harp,hɑɹp
harr,hæɹ
hart,hɑɹt
harv,hɑɹv
hase,heɪz
hash,hæʃ
haso,hɑsoʊ
hass,hæs
hast,hæst
hasz,hɑʃ
hats,hæts
hata,hɑtə
hate,heɪt
hath,hæθ
hats,hæts
hatt,hæt
hatz,hæts
haub,hɔb
hauf,hɔf
haug,hɔɡ
hauk,hɔk
haul,hɔɫ
haun,hɔn
haus,haʊs
haut,hɔt
have,hæv
hawe,hɔ
hawk,hɔk
hawn,hɔn
haws,hɔz
haye,heɪ
hayn,heɪn
hays,heɪz
haze,heɪz
hazy,heɪzi
hbox,eɪtʃbɔks
hces,eɪtʃsiiɛs
hell,hiɫ
head,hɛd
heal,hiɫ
heap,hip
hear,hiɹ
heat,hit
hebb,hɛb
hebe,hib
heck,hɛk
heda,heɪdə
hedi,hɛdi
heeb,hib
heed,hid
heeg,hiɡ
heel,hiɫ
heer,hiɝ
hees,hiz
heft,hɛft
hege,hidʒ
hegg,hɛɡ
hehl,hɛɫ
hehn,hɛn
hehr,hɛɹ
heid,haɪd
heil,haɪɫ
heim,haɪm
hein,haɪn
heir,ɛɹ
heit,haɪt
hejl,hɛdʒɫ
held,hɛɫd
helf,hɛɫf
hell,hɛɫ
helm,hɛɫm
help,hɛɫp
helt,hɛɫt
hemm,hɛm
hemo,himoʊ
hemp,hɛmp
hems,hɛmz
hemy,hɛmi
hens,hɛnz
heng,hɛŋ
henk,hɛŋk
henn,hɛn
hens,hɛnz
heon,hiən
hepp,hɛp
hers,hɝz
hera,hɪɹə
herd,hɝd
here,hiɹ
herk,hɝk
herl,hɝɫ
herm,hɝm
hern,hɝn
hero,hiɹoʊ
hero,hɪɹoʊ
herr,hɛɹ
hers,hɝz
hers,hɝz
hert,hɝt
herz,hɝz
hess,hɛs
heth,hɛθ
hett,hɛt
hetu,hitʃu
hetz,hɛts
heun,hjun
hewe,hju
hewn,hjun
hews,hjuz
hext,hɛkst
heyd,heɪd
heye,haɪ
heyl,heɪɫ
heyn,heɪn
heys,heɪz
hfdf,eɪtʃɛfdiɛf
hiaa,eɪtʃaɪeɪeɪ
hiam,haɪəm
hice,haɪs
hick,hɪk
hide,haɪd
hidy,haɪdi
hieb,hib
hier,haɪɝ
higa,hiɡə
high,haɪ
hike,haɪk
hilb,hɪɫb
hild,hɪɫd
hile,haɪɫ
hill,hɪɫ
hilo,hiɫoʊ
hilt,hɪɫt
hime,haɪm
hind,haɪnd
hine,haɪn
hing,hɪŋ
hink,hɪŋk
hinn,hɪn
hino,hinoʊ
hint,hɪnt
hinz,hɪnz
hipp,hɪp
hips,hɪps
hird,hɝd
hire,haɪɝ
hire,haɪɹ
hirn,hɝn
hiro,hɪɹoʊ
hirt,hɝt
hise,haɪz
hiss,hɪs
hite,haɪt
hits,hɪts
hitt,hɪt
hitz,hɪts
hive,haɪv
hlad,hɫæd
hmmm,hm
hnat,hnæt
hoag,hoʊɡ
hoak,hoʊk
hoar,hɔɹ
hoax,hoʊks
hobo,hoʊboʊ
hobs,hɑbz
hoch,hɑk
hock,hɑk
hodo,hoʊdoʊ
hoeg,hoʊɡ
hoek,hoʊk
hoel,hoʊɫ
hoen,hoʊn
hoes,hoʊz
hoey,hoʊi
hoff,hɔf
hofi,hoʊfi
hoge,hoʊdʒ
hogg,hɑɡ
hogs,hɑɡz
hohl,hoʊɫ
hohn,hɑn
hoho,hoʊhoʊ
hoit,hɔɪt
hoke,hoʊk
hola,hoʊɫə
hold,hoʊɫd
hole,hoʊɫ
holl,hɑɫ
holm,hoʊm
holt,hoʊɫt
holy,hoʊɫi
holz,hoʊɫz
homa,hoʊmə
home,hoʊm
homo,hoʊmoʊ
homs,hɑmz
hone,hoʊn
honk,hɑŋk
honk,hɔŋk
honn,hɑn
hons,hɑnz
hood,hʊd
hoof,huf
hoog,huɡ
hook,hʊk
hoon,hun
hoop,hup
hoos,huz
hoot,hut
hopf,hɑpf
hopi,hoʊpi
hopp,hɑp
hops,hɑps
hora,hɔɹə
hord,hɔɹd
hori,hɔɹi
horn,hɔɹn
horr,hɔɹ
hors,hɔɹz
hors,ɔɹ
hose,hoʊz
hoss,hɑs
host,hoʊst
hote,hoʊt
hoth,hɑθ
hots,hɑts
hott,hɑt
hotz,hɑts
houg,haʊɡ
houk,haʊk
houp,hup
hour,aʊɝ
hour,aʊɹ
hout,haʊt
houx,hu
houy,hɑaɪ
hove,hoʊv
hovy,hoʊvi
howd,haʊd
hows,haʊz
howe,haʊ
howk,haʊk
howl,haʊɫ
hoye,hɔɪ
hren,hɹɛn
hren,ɹɛn
hron,hɹɑn
hron,ɹɑn
hsbc,eɪtʃɛsbisi
hsia,ʃɑ
html,eɪtʃtiɛmɛɫ
http,eɪtʃtitipi
huan,hwɑn
hube,hjub
hubs,həbz
huch,hətʃ
huck,hək
huds,hədz
huda,hudə
hudy,hjudi
hued,hjud
hues,hjuz
huff,həf
huge,hjudʒ
huge,judʒ
hugg,həɡ
hugs,həɡz
huhn,hən
huie,hjui
huie,jui
hula,huɫə
hulk,həɫk
hull,həɫ
huls,həɫz
hult,həɫt
hulu,huɫu
hume,hjum
humi,hjumi
huml,həməɫ
humm,həm
hump,həmp
hums,həmz
hund,hənd
hunk,həŋk
hunn,hən
hunt,hənt
huot,hjuət
hupe,hjup
hupp,həp
hurd,hɝd
hurl,hɝɫ
hurm,hɝm
hurn,hɝn
hurt,hɝt
huse,hjuz
hush,həʃ
husk,həsk
huss,həs
hust,həst
huts,həts
huta,hutə
huth,huθ
huto,hutoʊ
huts,həts
hutt,hət
hutu,hutu
huwe,huw
hwan,hwɑn
hybl,hɪbəɫ
hyde,haɪd
hyer,haɪɝ
hyle,haɪɫ
hymn,hɪm
hynd,hɪnd
hype,haɪp
hypo,haɪpoʊ
hyre,haɪɹ
iers,aɪɝz
iago,iɑɡoʊ
iain,ieɪn
iams,aɪɑmz
iams,iɑmz
ibex,aɪbɛks
ibid,ɪbɪd
ibis,aɪbəs
iced,aɪst
ices,aɪsəz
ices,aɪsɪz
ichi,itʃi
icon,aɪkɑn
idea,aɪdiə
idec,aɪdək
iden,aɪdən
idle,aɪdəɫ
idly,aɪdɫi
idol,aɪdəɫ
ieee,aɪtɹɪpɫəi
ifas,aɪfəs
iffy,ɪfi
ifil,aɪfiɫ
ifor,aɪfɔɹ
igel,ɪɡəɫ
iger,aɪɡɝ
igoe,iɡoʊ
igon,aɪɡən
igor,iɡɔɹ
igor,ɪɡɔɹ
igou,ɪɡu
ihde,ɪd
ihle,aɪhəɫ
iida,idə
ijaz,ɪdʒəz
ijaz,idʒɑz
ikes,aɪks
ikea,aɪkiə
ikey,ɪki
ikie,ɪki
ikle,ɪkəɫ
ikon,aɪkɑn
ilan,iɫɑn
ilbo,ɪɫboʊ
iler,aɪɫɝ
iles,aɪɫz
ilka,ɪɫkə
illg,ɪɫɡ
ills,ɪɫz
ilsa,ɪɫsə
ilva,ɪɫvə
ilya,ɪɫjə
imai,ɪmaɪ
imam,aɪmæm
iman,aɪmən
imax,aɪmæks
imax,aɪmæks
imel,ɪməɫ
imes,aɪmz
imig,ɪmɪɡ
immu,ɪmju
imre,ɪmɹə
imus,aɪməs
inca,ɪŋkə
ince,ɪns
inch,ɪntʃ
inco,ɪnkoʊ
inda,ində
indo,ɪndoʊ
indy,ɪndi
info,ɪnfoʊ
ingo,ɪŋɡoʊ
inks,ɪŋks
inky,ɪŋki
inns,ɪnz
inno,ɪnoʊ
inns,ɪnz
inns,ɪnz
inti,ɪnti
into,ɪntu
into,ɪntu
into,ɪntə
iole,ioʊɫi
ions,aɪɑnz
ions,aɪənz
iota,aɪoʊtə
iott,aɪət
iowa,aɪəwə
iowa,aɪoʊə
ipad,aɪpæd
ipco,ɪpkoʊ
ipod,aɪpɑd
iras,aɪɹəz
iran,aɪɹæn
iran,ɪɹɑn
iraq,aɪɹɑk
iraq,iɹɑk
iraq,ɪɹɑk
iras,aɪɑɹeɪz
iras,aɪɹəz
irby,ɝbi
irey,aɪɹi
irit,aɪɑɹaɪti
irit,ɪɹɪt
irks,ɝks
iron,aɪɝn
irve,aɪɑɹvii
irve,ɝv
isay,aɪseɪ
isbn,aɪɛsbiɛn
isch,ɪʃ
iser,aɪzɝ
ishi,ɪʃi
isla,iɫə
isle,aɪɫ
isms,ɪzəmz
isnt,ɪzən
isnt,ɪzənt
isnt,ɪzənt
isom,aɪsəm
ison,ɪsən
issa,ɪsə
issy,ɪsi
isty,aɪɛstiwaɪ
isty,ɪsti
itll,ɪtəɫ
itll,ɪtɫ
itar,itɑɹ
itch,ɪtʃ
itek,aɪtɛk
itel,aɪtɛɫ
item,aɪtəm
iten,aɪtən
itos,itoʊz
itos,itoʊz
itoh,itoʊ
itsy,ɪtsi
itty,ɪti
ivar,ɪvɝ
ivax,aɪvæks
iven,aɪvən
iver,aɪvɝ
ives,aɪvz
