abandonments,əbændənmənts
courtemanche,kɔɹtmænʃ
courtemanche,kɔɹtmɑnʃ
craftspeople,kɹæfspipəɫ
craftspeople,kɹæftspipəɫ
crasswellers,kɹæswɛɫɝz
creativeness,kɹieɪtɪvnəs
creatologist,kɹieɪtɔɫədʒɪst
credentialed,kɹədɛnʃəɫd
creditworthy,kɹɛdɪtwɝði
criminalists,kɹɪmənəɫɪsts
criminalists,kɹɪmənəɫɪsts
criminalized,kɹɪmənəɫaɪzd
crisscrossed,kɹɪskɹɔst
crosscurrent,kɹɔskɝənt
crutchfields,kɹətʃfiɫdz
crystallized,kɹɪstəɫaɪzd
crystallizes,kɹɪstəɫaɪzɪz
culverhouses,kəɫvɝhaʊsɪz
cumulatively,kjumjəɫətɪvɫi
curtailments,kɝteɪɫmənts
customizable,kəstəmaɪzəbəɫ
cyclosporine,sɪkɫɔspɝin
czechoslovak,tʃɛkəsɫoʊvɑk
dalessandros,dɑɫɛsændɹoʊz
delectricite,dəɫɛktɹɪsɪteɪ
delectricite,dəɫɛktɹɪsəteɪ
dataproducts,deɪtəpɹɑdəkts
dataproducts,dætəpɹɔdəkts
dataproducts,deɪtəpɹɔdəkts
daughenbaugh,dɔɛnbɔ
debenedictis,dɛbɪnədɪktɪs
debilitating,dəbɪɫəteɪtɪŋ
decaffeinate,dikæfəneɪt
decapitation,dɪkæpɪteɪʃən
decelerating,dɪsɛɫɝeɪtɪŋ
deceleration,dɪsɛɫɝeɪʃən
decentralize,dɪsɛntɹəɫaɪz
decisiveness,dɪsaɪsɪvnəs
declarations,dɛkɫɝeɪʃənz
declassified,dɪkɫæsəfaɪd
decommission,dikəmɪʃən
decongestant,dikəndʒɛstənt
decongestant,dɪkəndʒɛstənt
decontrolled,dikəntɹoʊɫd
decristofaro,dɪkɹistoʊfɑɹoʊ
deficiencies,dɪfɪʃənsiz
definitively,dɪfɪnɪtɪvɫi
deflationary,dɪfɫeɪʃənɛɹi
degenerating,dɪdʒɛnɝeɪtɪŋ
degeneration,dɪdʒɛnɝeɪʃən
degenerative,dɪdʒɛnɝətɪv
degradations,dɛɡɹədeɪʃənz
dehumanizing,dihjumənaɪzɪŋ
dehumidified,dihjumɪdəfaɪd
dehumidifier,dihjumɪdəfaɪɝ
dehumidifies,dihjumɪdəfaɪz
delahoussaye,dɛɫəhaʊseɪ
delaurentiis,diɫɔɹɛntiz
deliberately,dɪɫɪbɝətɫi
deliberately,dɪɫɪbɹətɫi
deliberating,dɪɫɪbɝeɪtɪŋ
deliberation,dɪɫɪbɝeɪʃən
deliberative,dɪɫɪbɝeɪtɪv
deliberative,dɪɫɪbɹətɪv
delicatessen,dɛɫɪkətɛsən
delightfully,dɪɫaɪtfəɫi
dellavecchia,dɛɫəvɛkiə
deltadromeus,dɛɫtədɹoʊməs
demarcations,dimɑɹkeɪʃənz
demilitarize,dimɪɫətɝaɪz
demobilizing,dɪmoʊbəɫaɪzɪŋ
democratized,dɪmɑkɹətaɪzd
democratizes,dɪmɑkɹətaɪzɪz
demodulation,dimɑdʒəɫeɪʃən
demographers,dɪmɑɡɹəfɝz
demographics,dɛməɡɹæfɪks
demonization,dimənəzeɪʃən
demonstrable,dɛmənstɹəbəɫ
demonstrably,dɪmɑnstɹəbɫi
demonstrated,dɛmənstɹeɪtɪd
demonstrates,dɛmənstɹeɪts
demonstrator,dɛmənstɹeɪtɝ
demoralizing,dɪmɔɹəɫaɪzɪŋ
denomination,dɪnɔməneɪʃən
densitometer,dɛnsətɑmətɝ
denunciation,dɪnənsieɪʃən
departmental,dɪpɑɹtmɛnəɫ
departmental,dɪpɑɹtmɛntəɫ
dependencies,dɪpɛndənsiz
depopulation,dipɑpjəɫeɪʃən
depopulation,dɪpɑpjəɫeɪʃən
deportations,dipɔɹteɪʃənz
depositional,dɛpəzɪʃənəɫ
depreciating,dɪpɹiʃieɪtɪŋ
depreciation,dɪpɹiʃieɪʃən
depredations,dɛpɹədeɪʃənz
depressingly,dɪpɹɛsɪŋɫi
depressurize,dɪpɹɛʃɝaɪz
deprivations,dɛpɹəveɪʃənz
deregulating,diɹɛɡjəɫeɪtɪŋ
deregulation,diɹɛɡjəɫeɪʃən
deregulators,diɹɛɡjəɫeɪtɝz
deregulatory,diɹɛɡjəɫətɔɹi
desalination,diseɪɫɪneɪʃən
descriptions,dɪskɹɪpʃənz
desecrations,dɛsəkɹeɪʃənz
desecrations,dɛzəkɹeɪʃənz
desegregated,dɪsɛɡɹɪɡeɪtɪd
desensitized,dɪsɛnsətaɪzd
designations,dɛzəɡneɪʃənz
desirability,dɪzaɪɹəbɪɫɪti
desmoplastic,dɛzmoʊpɫæstɪk
destabilized,dɪsteɪbəɫaɪzd
destinations,dɛstəneɪʃənz
destructable,dɪstɹəktəbəɫ
deteriorated,dɪtɪɹiɝeɪtɪd
deteriorates,dɪtɪɹiɝeɪts
determinable,dɪtɝmənəbəɫ
determinants,dɪtɝmənənts
determinedly,dətɝməndɫi
determinedly,dətɝmənədɫi
detoxication,dɪtɑksəkeɪʃən
deutschemark,dɔɪtʃmɑɹk
devaluations,divæɫjueɪʃənz
developments,dɪvɛɫəpmənts
developments,dɪvɛɫəpmənts
diagrammatic,daɪəɡɹəmætɪk
diamagnetism,daɪəmæɡnɪtɪzəm
diastrophism,daɪæstɹəfɪzəm
dibartolomeo,dɪbɑɹtoʊɫoʊmioʊ
dickensheets,dɪkənʃits
dictatorship,dɪkteɪtɝʃɪp
dictionaries,dɪkʃənɛɹiz
diefenderfer,difɪndɝfɝ
diffenderfer,dɪfɪndɝfɝ
differential,dɪfɝɛnʃəɫ
difficulties,dɪfəkəɫtiz
difficulties,dɪfɪkəɫtiz
diminishment,dɪmɪnɪʃmənt
directorship,daɪɹɛktɝʃɪp
directorship,dɝɛktɝʃɪp
directorship,diɹɛktɝʃɪp
directorship,dɪɹɛktɝʃɪp
disabilities,dɪsəbɪɫətiz
disabilities,dɪsəbɪɫɪtiz
disadvantage,dɪsədvænɪdʒ
disadvantage,dɪsədvæntɪdʒ
disaffection,dɪsəfɛkʃən
disagreeable,dɪsəɡɹiəbəɫ
disagreement,dɪsəɡɹimənt
disallowance,dɪsəɫaʊəns
disappearing,dɪsəpiɹɪŋ
disappearing,dɪsəpɪɹɪŋ
disappointed,dɪsəpɔɪnɪd
disappointed,dɪsəpɔɪntɪd
disapproving,dɪsəpɹuvɪŋ
disassembled,dɪsəsɛmbəɫd
disassociate,dɪsəsoʊsieɪt
disassociate,dɪsəsoʊʃieɪt
disastrously,dɪzæstɹəsɫi
disbelieving,dɪsbəɫivɪŋ
disbursement,dɪsbɝsmənt
disciplinary,dɪsəpɫənɛɹi
disciplining,dɪsəpɫənɪŋ
disconnected,dɪskənɛktɪd
discontented,dɪskəntɛntɪd
discontinued,dɪskəntɪnjud
discotheques,dɪskoʊtɛks
discountable,dɪskaʊntəbəɫ
discouraging,dɪskɝədʒɪŋ
discouraging,dɪskɝɪdʒɪŋ
discoverable,dɪskəvɝəbəɫ
discoverable,dɪskəvɹəbəɫ
discrediting,dɪskɹɛdətɪŋ
discriminate,dɪskɹɪməneɪt
disenchanted,dɪsɪntʃænɪd
disenchanted,dɪsɪntʃæntɪd
disgorgement,dɪsɡɔɹdʒmənt
disgruntling,dɪsɡɹəntəɫɪŋ
disgruntling,dɪsɡɹəntɫɪŋ
disheartened,dɪshɑɹtənd
dishonorable,dɪsɑnɝəbəɫ
disincentive,dɪsɪnsɛntɪv
disinfectant,dɪsɪnfɛktənt
disinfection,dɪsɪnfɛkʃən
disinflation,dɪsɪnfɫeɪʃən
disingenuous,dɪsɪndʒɛnjuəs
disintegrate,dɪsɪntəɡɹeɪt
dislocations,dɪsɫoʊkeɪʃənz
dismembering,dɪsmɛmbɝɪŋ
disobedience,dɪsəbidiəns
disobedience,dɪsoʊbidiəns
disorganized,dɪsɔɹɡənaɪzd
disorienting,dɪsɔɹiɛntɪŋ
dispensation,dɪspənseɪʃən
displacement,dɪspɫeɪsmənt
displaywrite,dɪspɫeɪɹaɪt
dispositions,dɪspəzɪʃənz
dispossessed,dɪspəzɛst
disqualified,dɪskwɑɫəfaɪd
disqualifies,dɪskwɑɫəfaɪz
disregarding,dɪsɹɪɡɑɹdɪŋ
disreputable,dɪsɹɛpjətəbəɫ
disrespected,dɪsɹɪspɛktɪd
dissatisfied,dɪsætəsfaɪd
disseminated,dɪsɛməneɪtəd
disseminates,dɪsɛməneɪts
dissertation,dɪsɝteɪʃən
dissociation,dɪsoʊsieɪʃən
dissymmetric,dɪsɪmɛtɹɪk
distillation,dɪstəɫeɪʃən
distilleries,dɪstɪɫɝiz
distinctions,dɪstɪŋkʃənz
distractions,dɪstɹækʃənz
distributing,dɪstɹɪbjutɪŋ
distribution,dɪstɹəbjuʃən
distributive,dɪstɹɪbjutɪv
distributors,dɪstɹɪbjutɝz
distributors,dɪstɹɪbjətɝz
distributors,dɪstɹɪbjətɝz
disturbances,dɪstɝbənsəz
disturbances,dɪstɝbənsɪz
disturbingly,dɪstɝbɪŋɫi
diversifying,daɪvɝsəfaɪɪŋ
diversifying,dɪvɝsəfaɪɪŋ
diversionary,daɪvɝʒənɛɹi
diversionary,dɪvɝʒənɛɹi
diverticulum,daɪvɝtɪkjəɫəm
divertimento,dɪvɝtəmɛntoʊ
divestitures,daɪvɛstɪtʃɝz
divestitures,dɪvɛstɪtʃɝz
divisiveness,dɪvaɪsɪvnəs
dogmatically,dɑɡmætɪkɫi
domestically,dəmɛstɪkɫi
domesticated,dəmɛstəkeɪtəd
domesticates,dəmɛstəkeɪts
doubledecker,dəbəɫdɛkɝ
downgradings,daʊnɡɹeɪdɪŋz
downpayments,daʊnpeɪmənts
dramatically,dɹəmætɪkəɫi
dramatically,dɹəmætɪkɫi
dudenhoeffer,dədɪnhoʊfɝ
dumbfounding,dəmfaʊndɪŋ
dunkelberger,dəŋkəɫbɝɡɝ
dunkleberger,dəŋkəɫbɝɡɝ
duplications,dupɫɪkeɪʃənz
dysfunctions,dɪsfəŋkʃənz
earthshaking,ɝθʃeɪkɪŋ
eccentricity,ɛksəntɹɪsəti
ecclesiastic,ɪkɫiziæstɪk
echolocation,ɛkoʊɫoʊkeɪʃən
ecologically,ɛkəɫɑdʒɪkɫi
ecologically,ikəɫɑdʒɪkɫi
econometrics,ɪkɑnəmɛtɹɪks
economically,ɛkənɑmɪkɫi
economically,ikənɑmɪkɫi
ecstatically,ɛkstætɪkɫi
editorialist,ɛdətɔɹiəɫɪst
editorialize,ɛdətɔɹiəɫaɪz
effervescent,ɛfɝvɛsənt
efficiencies,ɪfɪʃənsiz
effortlessly,ɛfɝtɫəsɫi
eichelberger,aɪkəɫbɝɡɝ
eichenberger,aɪkənbɝɡɝ
electability,ɪɫɛktəbɪɫəti
electioneers,ɪɫɛkʃənɪɹz
electrically,ɪɫɛktɹɪkəɫi
electrically,ɪɫɛktɹɪkɫi
electricians,ɪɫɛktɹɪʃənz
electricians,ɪɫɛktɹɪʃənz
electrifying,ɪɫɛktɹəfaɪɪŋ
electrocuted,ɪɫɛktɹəkjutɪd
electrolysis,ɪɫɛktɹɑɫəsəs
electrolytes,ɪɫɛktɹɑɫaɪts
electrolytic,ɪɫɛktɹəɫɪtɪk
electroplate,ɪɫɛktɹəpɫeɪt
electroshock,ɪɫɛktɹoʊʃɑk
electrosound,ɪɫɛktɹoʊsaʊnd
electrospace,ɪɫɛktɹoʊspeɪs
electrospray,ɪɫɛktɹoʊspɹeɪ
eleemosynary,ɛɫəmɔsənɛɹi
eliminations,ɪɫɪmɪneɪʃənz
ellingsworth,ɛɫɪŋzwɝθ
elmootazbell,ɛɫmutəzbɛɫ
emancipating,ɪmænsəpeɪtɪŋ
emancipation,ɪmænsəpeɪʃən
embarrassing,ɪmbɛɹəsɪŋ
embellishing,ɛmbɛɫɪʃɪŋ
embezzlement,ɛmbɛzəɫmənt
embroiderers,ɛmbɹɔɪdɝɝz
embroideries,ɪmbɹɔɪdɝiz
embroidering,ɛmbɹɔɪdɝɪŋ
emotionalism,imoʊʃənəɫɪzəm
emotionalism,ɪmoʊʃənəɫɪzəm
emphatically,ɛmfætɪkəɫi
emphatically,ɛmfætɪkɫi
emplacements,ɪmpɫeɪsmənts
encapsulated,ɛnkæpsəɫeɪtɪd
encephalitis,ɛnsɛfəɫaɪtəs
encirclement,ɛnsɝkəɫmənt
encompassing,ɛnkəmpəsɪŋ
encountering,ɛnkaʊnɝɪŋ
encountering,ɛnkaʊntɝɪŋ
encroachment,ɛnkɹoʊtʃmənt
encyclopedia,ɪnsaɪkɫəpidiə
encyclopedia,ɪnsaɪkɫoʊpidiə
encyclopedic,ɪnsaɪkɫəpidɪk
encyclopedic,ɪnsaɪkɫoʊpidɪk
endangerment,ɛndeɪndʒɝmənt
endorsements,ɛndɔɹsmənts
endotronicss,ɛndoʊtɹɑnɪksɪz
enforcements,ɛnfɔɹsmənts
enforcements,ɛnfɔɹsmənts
enfranchised,ɛnfɹæntʃaɪzd
enfranchises,ɛnfɹæntʃaɪzɪz
englishwoman,ɪŋɡɫɪʃwʊmən
enhancements,ɛnhænsmənts
enlargements,ɪnɫɑɹdʒmənts
enlightening,ɛnɫaɪtənɪŋ
enlightening,ɛnɫaɪtnɪŋ
entanglement,ɛntæŋɡəɫmənt
entanglement,ɪntæŋɡəɫmənt
enterividous,ɛntɝɪvɪdəs
enterococcus,ɛntɝəkɔkəs
enterprising,ɛnɝpɹaɪzɪŋ
enterprising,ɛntɝpɹaɪzɪŋ
entertainers,ɛnɝteɪnɝz
entertainers,ɛntɝteɪnɝz
entertainers,ɛnɝteɪnɝz
entertainers,ɛntɝteɪnɝz
entertaining,ɛnɝteɪnɪŋ
entertaining,ɛntɝteɪnɪŋ
enthusiastic,ɪnθuziæstɪk
entitlements,ɛntaɪtəɫmənts
entomologist,ɛntəmɑɫədʒəst
entrenchment,ɛntɹɛntʃmənt
entrepreneur,ɑntɹəpɹənɝ
entrepreneur,ɑntɹəpɹənʊɹ
environments,ɪnvaɪɹənmənts
environments,ɪnvaɪɹənmənts
eosinophilia,iəsɪnəfɪɫjə
eosinophilic,iəsɪnəfɪɫɪk
epidemiology,ɛpədɛmiɑɫədʒi
epigrammatic,ɛpəɡɹəmætɪk
episcopalian,ɪpɪskəpeɪɫiən
episcopalian,ɪpɪskəpeɪɫjən
epistemology,ɛpɪstəmɑɫədʒi
equalization,ikwəɫɪzeɪʃən
equivocating,ɪkwɪvəkeɪtɪŋ
equivocation,ɪkwɪvəkeɪʃən
establishing,ɪstæbɫɪʃɪŋ
esthetically,ɛsθɛtɪkɫi
estrangement,ɪstɹeɪndʒmənt
ethnocentric,ɛθnoʊsɛntɹɪk
ethnographic,ɛθnəɡɹæfɪk
etymological,ɛtəməɫɑdʒəkəɫ
eurodeposits,juɹoʊdɪpɑzɪts
eurofighters,juɹoʊfaɪtɝz
euromissiles,juɹoʊmɪsəɫz
eurosterling,juɹoʊstɝɫɪŋ
evangelicals,ivændʒɛɫɪkəɫz
evangelistic,ivændʒəɫɪstɪk
evenhandedly,ɛvənhændɪdɫi
everlastings,ɛvɝɫæstɪŋz
evolutionary,ɛvəɫuʃənɛɹi
evolutionary,ɛvoʊɫuʃənɛɹi
evolutionary,ivəɫuʃənɛɹi
evolutionary,ivoʊɫuʃənɛɹi
exacerbating,ɪɡzæsɝbeɪtɪŋ
exacerbation,ɪɡzæsɝbeɪʃən
exaggerating,ɪɡzædʒɝeɪtɪŋ
exaggeration,ɪɡzædʒɝeɪʃən
examinations,ɪɡzæməneɪʃənz
exasperating,ɪɡzæspɝeɪtɪŋ
exasperation,ɛksæspɝeɪʃən
excellencies,ɛksɫɛnsiz
exchangeable,ɪkstʃeɪndʒəbəɫ
exclamations,ɛkskɫəmeɪʃənz
exclusionary,ɪkskɫuʒənɛɹi
excruciating,ɪkskɹuʃieɪtɪŋ
executioners,ɛksəkjuʃənɝz
executioners,ɛksəkjuʃənɝz
exemplifying,ɪɡzɛmpɫəfaɪɪŋ
exhaustively,ɪɡzɑstɪvɫi
exhilarating,ɪɡzɪɫɝeɪtɪŋ
exhilaration,ɪɡzɪɫɝeɪʃən
exhortations,ɛɡzɔɹteɪʃənz
expansionary,ɪkspænʃənɛɹi
expansionary,ɪkspæntʃənɛɹi
expansionism,ɪkspænʃənɪzəm
expansionism,ɪkspæntʃənɪzəm
expansionist,ɪkspænʃənɪst
expansionist,ɪkspæntʃənɪst
expatriation,ɛkspeɪtɹieɪʃən
expectancies,ɪkspɛktənsiz
expectations,ɛkspɛkteɪʃənz
expenditures,ɪkspɛndətʃɝz
expenditures,ɪkspɛndɪtʃɝz
experiencing,ɪkspɪɹiənsɪŋ
experiential,ɛkspɛɹiɛnʃəɫ
experimental,ɪkspɛɹɪmɛntəɫ
experimented,ɪkspɛɹəməntəd
experimenter,ɪkspɛɹəmɛntɝ
explanations,ɛkspɫəneɪʃənz
exploitation,ɛkspɫɔɪteɪʃən
exploitative,ɛkspɫɔɪtətɪv
explorations,ɛkspɫɔɹeɪʃənz
explorations,ɛkspɫɝeɪʃənz
explorations,ɛkspɫɔɹeɪʃənz
explorations,ɛkspɫɝeɪʃənz
expressivity,ɛkspɹəsɪvɪti
expropriated,ɛkspɹoʊpɹieɪtɪd
exterminated,ɪkstɝməneɪtɪd
exterminates,ɪkstɝməneɪts
exterminator,ɪkstɝməneɪtɝ
extinguished,ɪkstɪŋɡwɪʃt
extinguisher,ɪkstɪŋɡwɪʃɝ
extortionate,ɛkstɔɹʃəneɪt
extortionate,ɛkstɔɹʃənət
extortionist,ɛkstɔɹʃənɪst
extramarital,ɛkstɹəmɛɹətəɫ
extraneously,ɛkstɹeɪniəsɫi
extrapolated,ɛkstɹæpəɫeɪtɪd
extrapolates,ɛkstɹæpəɫeɪts
extrasensory,ɛkstɹəsɛnsɝi
extravagance,ɛkstɹævəɡəns
extravaganza,ɛkstɹævəɡænzə
extravesated,ɛkstɹævəseɪtəd
eyewitnesses,aɪwɪtnəsɪz
fabrications,fæbɹɪkeɪʃənz
facilitating,fəsɪɫəteɪtɪŋ
facilitation,fəsɪɫəteɪʃən
facilitators,fəsɪɫəteɪtɝz
facilitators,fəsɪɫəteɪtɝz
factionalism,fækʃənəɫɪzəm
fainthearted,feɪnthɑɹtɪd
faithfulness,feɪθfəɫnɛs
falconbridge,fæɫkənbɹɪdʒ
fallaciously,fəɫeɪʃəsɫi
familiarized,fəmɪɫjɝaɪzd
faulkenberry,fɔɫkənbɛɹi
favorability,fævɝəbɪɫɪti
fayetteville,feɪɛtvɪɫ
featherstone,fɛðɝstoʊn
fedeccredito,fɛdɛkɹɛditoʊ
federalizing,fɛdɝəɫaɪzɪŋ
federalizing,fɛdɹəɫaɪzɪŋ
fehrenbacher,fɛɹɪnbɑkɝ
fenfluramine,fɛnfɫʊɹəmin
fenstermaker,fɛnstɝmeɪkɝ
fensterstock,fɛnstɝstɑk
fermentation,fɝmənteɪʃən
ferrofluidic,fɛɹoʊfɫuɪdɪk
fibrillation,fɪbɹɪɫeɪʃən
fictionalize,fɪkʃənəɫaɪz
figuratively,fɪɡjʊɹətɪvɫi
filibustered,fɪɫəbəstɝd
fillibusters,fɪɫəbəstɝz
fingerprints,fɪŋɡɝpɹɪnts
finkelsteins,fɪŋkəɫstaɪnz
finkelsteins,fɪŋkəɫstinz
finkenbinder,fɪŋkɪnbɪndɝ
finkielstain,fɪŋkiɫsteɪn
finkielstain,fɪŋkiɫstɪn
finmeccanica,fɪnməkænɪkə
firecrackers,faɪɝkɹækɝz
firefighters,faɪɝfaɪtɝz
firefighting,faɪɹfaɪtɪŋ
fireproofing,faɪɝpɹufɪŋ
flagofficers,fɫæɡɔfəsɝz
flamboyantly,fɫæmbɔɪəntɫi
flammability,fɫæməbɪɫɪti
fleckenstein,fɫɛkənstaɪn
fleckenstein,fɫɛkənstin
flightsafety,fɫaɪtseɪfti
fluctuations,fɫəktʃueɪʃənz
fluorescence,fɫʊɹɛsəns
fluorescents,fɫɔɹɛsənts
fluorescents,fɫʊɹɛsənts
fluoridation,fɫɔɹədeɪʃən
fluoridation,fɫʊɹədeɪʃən
fluorocarbon,fɫɔɹoʊkɑɹbən
fluorocarbon,fɫʊɹoʊkɑɹbən
forcefulness,fɔɹsfəɫnəs
forebearance,fɔɹbɛɹəns
foreclosures,fɔɹkɫoʊʒɝz
forensically,fɝɛnsɪkəɫi
forensically,fɝɛnsɪkɫi
foreshadowed,fɔɹʃædoʊd
forestalling,fɔɹstɑɫɪŋ
formaldehyde,fɝmæɫdəhaɪd
formaldehyde,fɔɹmæɫdəhaɪd
formulations,fɔɹmjuɫeɪʃənz
forthrightly,fɔɹθɹaɪtɫi
fotheringham,fəðɝɪŋhæm
foundational,faʊndeɪʃənəɫ
fractionally,fɹækʃənəɫi
fractionally,fɹækʃnəɫi
franceschini,fɹɑntʃɛskini
francisville,fɹænsɪsvɪɫ
frankenberry,fɹæŋkənbɛɹi
frankenfield,fɹæŋkənfiɫd
frankenstein,fɹæŋkənstaɪn
frankenstein,fɹæŋkənstin
frankfurters,fɹæŋkfɝtɝz
frankincense,fɹæŋkənsɛns
fraternities,fɹətɝnətiz
fraternizing,fɹætɝnaɪzɪŋ
fraudulently,fɹɔduɫəntɫi
fredericksen,fɹɛdɝɪksən
fredericksen,fɹɛdɹɪksən
frederickson,fɹɛdɝɪksən
frederickson,fɹɛdɹɪksən
freedenbergs,fɹidɛnbɝɡz
freestanding,fɹistændɪŋ
freethinkers,fɹiθɪŋkɝz
freewheeling,fɹiwiɫɪŋ
freewheeling,fɹihwiɫɪŋ
freightliner,fɹeɪtɫaɪnɝ
frictionless,fɹɪkʃənɫəs
friedrichsen,fɹidɹɪksən
friendliness,fɹɛndɫinɪs
friendliness,fɹɛnɫinɪs
fronterhouse,fɹəntɝhaʊs
frontrunners,fɹəntɹənɝz
frustrations,fɹəstɹeɪʃənz
fuerstenberg,fʊɹstənbɝɡ
functionally,fəŋkʃənəɫi
functionally,fəŋkʃnəɫi
fundamentals,fəndəmɛnəɫz
fundamentals,fəndəmɛntəɫz
gaithersburg,ɡeɪθɝzbɝɡ
gamesmanship,ɡeɪmzmənʃɪp
gamsakhurdia,ɡæmsəkɝdiə
gamsakhurdia,ɡæmsəkɝdjə
garlinghouse,ɡɑɹɫɪŋhaʊs
gasification,ɡæsəfəkeɪʃən
gastrulation,ɡæstɹəɫeɪʃən
genealogical,dʒiniɑɫɔdʒɪkəɫ
genemedicine,dʒɛnəmɛdəsən
generalities,dʒɛnɝæɫətiz
generalizing,dʒɛnɝəɫaɪzɪŋ
generalizing,dʒɛnɹəɫaɪzɪŋ
generational,dʒɛnɝeɪʃənəɫ
genetization,dʒɛnətɪzeɪʃən
gentleladies,dʒɛntəɫeɪdiz
gentlewomans,dʒɛnəɫwʊmənz
gentlewomans,dʒɛntəɫwʊmənz
gentlewomens,dʒɛnəɫwɪmənz
gentlewomens,dʒɛntəɫwɪmənz
geochemistry,dʒioʊkɛməstɹi
geographical,dʒiəɡɹæfɪkəɫ
geopolitical,dʒioʊpəɫɪtɪkəɫ
georgopoulos,dʒɔɹdʒɑpəɫɪs
gerashchenko,ɡɛəʃeɪŋkoʊ
geriatrician,dʒɛɹiətɹɪʃən
gerrymanders,dʒɛɹimændɝz
gerstenhaber,ɡɝstənheɪbɝ
gesamtmetall,ɡɛsæmtmɛtəɫ
gesellschaft,ɡəsɛɫʃæft
ghostbusters,ɡoʊstbəstɝz
giannattasio,dʒɑnɑtɑsioʊ
gildersleeve,ɡɪɫdɝsɫiv
giovanniello,dʒoʊvɑniɛɫoʊ
girozentrale,ɡɪɹoʊzəntɹɑɫ
gissendanner,ɡɪsɪndənɝ
glassblowers,ɡɫæsbɫoʊɝz
glassblowing,ɡɫæsbɫoʊɪŋ
globetrotter,ɡɫoʊbtɹɔtɝ
glockenspiel,ɡɫɑkənspiɫ
glyndebourne,ɡɫɪndbɔɹn
gnatcatchers,nætkætʃɝz
gobbledygook,ɡɑbəɫdiɡʊk
goldsborough,ɡoʊɫdzbɝoʊ
golembiewski,ɡəɫɪmbiɛfski
gondwanaland,ɡɑndwɑnɑɫænd
gooseberries,ɡusbɛɹiz
governmental,ɡəvɝmɛntəɫ
governmental,ɡəvɝnmɛntəɫ
governorship,ɡəvɝnɝʃɪp
graciousness,ɡɹeɪʃəsnəs
grandfathers,ɡɹænfɑðɝz
grandfathers,ɡɹændfɑðɝz
grandfathers,ɡɹænfɑðɝz
grandfathers,ɡɹændfɑðɝz
grandmothers,ɡɹændməðɝz
grandmothers,ɡɹændməðɝz
grandnephews,ɡɹændnɛfjuz
grandparents,ɡɹændpɛɹənts
grandparents,ɡɹændpɛɹənts
grasshoppers,ɡɹæshɑpɝz
gratuitously,ɡɹətuətəsɫi
greeleyville,ɡɹiɫivɪɫ
greelieville,ɡɹiɫivɪɫ
greenshields,ɡɹinʃiɫdz
gruetzmacher,ɡɹʊtsmɑkɝ
guaranteeing,ɡɛɹəntiɪŋ
guardianship,ɡɑɹdiənʃɪp
guesstimates,ɡɛstɪmeɪts
guesstimates,ɡɛstɪmɪts
guglielmetti,ɡuɡɫiɛɫmɛti
gyllenhammar,dʒɪɫɛnhæmɝ
gynecologist,ɡaɪnəkɑɫədʒəst
haberdashery,hæbɝdæʃɝi
hairdressers,hɛɹdɹɛsɝz
hairdressing,hɛɹdɹɛsɪŋ
halamandaris,hæɫəmændɝɪs
halliburtons,hæɫɪbɝtənz
hallucinated,həɫusəneɪtɪd
hallucinates,həɫusəneɪts
hammersteins,hæmɝstaɪnz
hammersteins,hæmɝstinz
hampshirites,hæmpʃɝaɪts
hamptonshire,hæmptənʃɝ
handicappers,hændikæpɝz
handicapping,hændikæpɪŋ
handkerchief,hæŋkɝtʃif
handkerchief,hæŋkɝtʃɪf
happenstance,hæpənstæns
hardscrabble,hɑɹdskɹæbəɫ
harleysville,hɑɹɫizvɪɫ
harmoniously,hɑɹmoʊniəsɫi
harrisburghs,hæɹɪsbɝɡz
harrisburghs,hɛɹɪsbɝɡz
headmistress,hɛdmɪstɹəs
headquarters,hɛdkɔɹtɝz
headquarters,hɛdkwɔɹtɝz
healthsource,hɛɫθsɔɹs
healthtrusts,hɛɫθtɹəsts
heartwarming,hɑɹtwɔɹmɪŋ
heavyweights,hɛviweɪts
heffelfinger,hɛfɪɫfɪŋɝ
heidelberger,haɪdəɫbɝɡɝ
heitzenrater,haɪtzɪnɹeɪtɝ
hellaciously,hɛɫeɪʃəsɫi
helplessness,hɛɫpɫəsnəs
hemimorphite,hɛməmɔɹfaɪt
hemodynamics,hɛmoʊdaɪnæmɪks
hemophiliacs,himəfɪɫiæks
hemorrhaging,hɛmɝɪdʒɪŋ
hercegovinas,hɛɹtsəɡoʊvinəz
hercegovinas,hɝɹtsəɡoʊvinəz
hermetically,hɝmɛtɪkəɫi
hermetically,hɝmɛtɪkɫi
herschensohn,hɝʃənsən
hertzenleben,hɝtənɫeɪbən
herzegovinas,hɛɹtsəɡoʊvinəz
herzegovinas,hɝtsəɡoʊvinəz
heterocercal,hɛtɝoʊsɝkəɫ
heterosexual,hɛtɝoʊsɛkʃəwəɫ
heterozygous,hɛtɝəzaɪɡəs
hetherington,hɛðɝɪŋtən
hierarchical,haɪɹɑɹkəkəɫ
hieroglyphic,haɪɹoʊɡɫɪfɪk
higgenbotham,hɪɡɪnbəθəm
higginbotham,hɪɡɪnbɑθəm
higginbottom,hɪɡɪnbɑtəm
highlighting,haɪɫaɪtɪŋ
hilderbrandt,hɪɫdɝbɹənt
hillenbrands,hɪɫənbɹændz
hillsborough,hɪɫzbɝoʊ
himmelberger,hɪməɫbɝɡɝ
hindquarters,haɪndkɔɹtɝz
hindquarters,haɪndkwɔɹtɝz
