[1/100] - ptime: 28.87 loss_d: 1.358, loss_g: 0.812
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: æɡnju
Word: announced 	Gen. IPA: ovŋeoooɝo 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ovŋeoðpkk 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ovŋeoðʒɹk 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ovŋeoðʒək 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ovŋeoðoɝð 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ovŋeoðokk 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ovŋeoðððo 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ovŋeoðkkk 	Real IPA: bɑs
Word: branch    	Gen. IPA: ovŋeoðpok 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ovŋeoðʒək 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ovŋeoðʒok 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ovŋeoðoʒɝ 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ovŋeoðʒɛɛ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ovŋeoðɹpk 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ovŋeoðəpk 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ovŋeoðoʊk 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ovŋeoðeek 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ovŋeoðpŋk 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ovŋeoðʒkk 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ovŋeoðɝɝk 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ovŋeoðɛək 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ovŋeoðəŋŋ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ovŋeoðpɛŋ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ovŋeoðɛək 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ovŋeoðoʊɝ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ovŋeoðieo 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ovŋeoðʒok 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ovŋeoðoək 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ovŋeoðɛpk 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ovŋeoðpʒk 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ovŋeoðʒɛo 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ovŋeoðopk 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ovŋeoðəʊk 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ovŋeoðeɛk 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ovŋeoðɝɝk 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ovŋeoðʒaɝ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ovŋeoðɝɝk 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ovŋeoðokk 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ovŋeoððŋŋ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ovŋeoðoɛk 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ovŋeoðooə 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ovŋeoðəəɝ 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ovŋeoðɝðk 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ovŋeoðoək 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ovŋeoðpkk 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ovŋeoðokk 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ovŋeoðokk 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ovŋeoðɝkk 	Real IPA: ɫin
Word: loong     	Gen. IPA: ovŋeoookk 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ovŋeoɝʒɝɝ 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ovŋeooekk 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ovŋeooɝɛð 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ovŋeoooðk 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ovŋeooəkk 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ovŋeoɝɝʒɝ 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ovŋeoɝɝek 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ovŋeɝðʒɛk 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ovŋeɝðɝkk 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ovŋeɝðʒok 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ovŋeɝðvʒk 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: ovŋeɝðipɛ 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ovŋeoðʒðk 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ovŋeoðoəo 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ovŋeoðððo 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ovŋeoðɝkk 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ovŋeoðɝɑk 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: ovŋeoðpkk 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ovŋeoðeok 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: ovŋeoðʒoo 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ovŋeoðoɑk 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ovŋeoðŋəð 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: ovŋeoðəɹk 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ovŋeoðeɝʊ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ovŋeoðɝkk 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ovŋeoðʒək 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: ovŋeoðoθk 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: ovŋeoðokk 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ovŋeoðokk 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: ovŋeoðɛoə 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: ovŋeoðəkk 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: ovŋeoðɝkk 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: ovŋeoðʒʒk 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ovŋeoðʒoð 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: ovŋeoððɛk 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ovŋeoðʒɛk 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: ovŋeðooɛk 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: ovŋeðoɹɛɛ 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: ovŋeðopɛk 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ovŋeðɝpθo 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: ovŋeoðɝeə 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ovŋeoððɝk 	Real IPA: ətɝz
Word: views     	Gen. IPA: ovŋeoðəkk 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ovŋeoðoɛk 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: ovŋeoðɝŋɝ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: ovŋeoðəɝk 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: ovŋeoðɝɝk 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: ovŋeoðokk 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ovŋeoðəkk 	Real IPA: zɝk
[9/100] - ptime: 26.76 loss_d: 3.464, loss_g: 9.262
Word: agnew     	Gen. IPA: ʃʊəðððokk 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʃʊəðððɑpk 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ʃʊəððooʒɛ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ʃʊəðððɝkk 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ʃʊəððððək 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ʃʊəðððaɝk 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ʃʊəðððəɛʒ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ʃʊəðððəkk 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ʃʊəðððððɝ 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ʃʊəðððkkk 	Real IPA: bɑs
Word: branch    	Gen. IPA: ʃʊəðððʒɛk 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ʃʊəðððaɝk 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ʃʊəðððpok 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ʃʊəðððpip 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ʃʊəðððŋɛɛ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ʃʊəðððɝðk 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ʃʊəððððʒk 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ʃʊəððððɝk 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ʃʊəðððɛɝk 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ʃʊəðððɝʒk 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ʃʊəðððθkk 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ʃʊəðððʊok 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ʃʊəðððɛɛk 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ʃʊəðððŋŋŋ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ʃʊəðððɝɹɝ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ʃʊəðððʒək 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ʃʊəðððʒɛo 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ʃʊəððɝiðp 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ʃʊəðððəok 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ʃʊəððɑəɝk 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ʃʊəðððʒɝk 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ʃʊəðððɝvk 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ʃʊəðððoðo 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ʃʊəðððɹɝk 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ʃʊəððəɛɝk 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ʃʊəðððŋɛɛ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ʃʊəðððɝɝk 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ʃʊəðððoɛp 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ʃʊəðððððk 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ʃʊəðððŋkk 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ʃʊəðððθŋŋ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ʃʊəðððŋɛk 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ʃʊəðððooə 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ʃʊəðððəəp 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ʃʊəðððpʒk 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ʃʊəðððθək 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ʃʊəðððʒkk 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ʃʊəðððokk 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ʃʊəðððɛkk 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ʃʊəðððəkk 	Real IPA: ɫin
Word: loong     	Gen. IPA: ʃʊəððookk 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ʃʊəðððoɛo 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ʃʊəðððekk 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʃʊəðððəoɹ 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʃʊəðððpɝk 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ʃʊəðððɛkk 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ʃʊəðððoʒo 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ʃʊəðððʒok 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ʃʊəðððeok 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ʃʊəðððekk 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ʃʊəðððʒok 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ʃʊəðððəʒk 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: ʃʊəðððɝvɛ 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʃʊəðððoək 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ʃʊəðððoəo 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ʃʊəððððəo 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ʃʊəðððokk 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ʃʊəðððθɑɑ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: ʃʊəðððokk 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ʃʊəððððok 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: ʃʊəðððioʒ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ʃʊəðððaɝk 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ʃʊəðððŋəɝ 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: ʃʊəðððɛʒk 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ʃʊəðððŋoʒ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ʃʊəððððkk 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ʃʊəððððpk 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: ʃʊəðððɹθθ 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: ʃʊəðððəkk 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʃʊəðððikk 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: ʃʊəðððɛəʒ 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: ʃʊəððŋəkk 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: ʃʊəðððvkk 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: ʃʊəðððʒək 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ʃʊəðððʒoð 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: ʃʊəðððoʒk 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ʃʊəðððpɝk 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: ʃʊəððŋŋɝk 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: ʃʊəððppɛɛ 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: ʃʊəððʒʒok 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ʃʊəððooŋp 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: ʃʊəðððɹoɝ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ʃʊəððððpk 	Real IPA: ətɝz
Word: views     	Gen. IPA: ʃʊəðððɝkk 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ʃʊəðððŋɛɛ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: ʃʊəðððəɑɛ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: ʃʊəðððəok 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: ʃʊəðððəðk 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: ʃʊəðððɛkk 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ʃʊəðððpkk 	Real IPA: zɝk
[10/100] - ptime: 26.81 loss_d: 3.621, loss_g: 11.152
Word: agnew     	Gen. IPA: ovŋeoðəkk 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ovŋeoðɛʒk 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ovŋeoooɝo 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ovŋeoðpkk 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ovŋeooʒɹk 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ovŋeoðʒək 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ovŋeoðʊɝð 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ovŋeoðʊkk 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ovŋeoððʒo 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ovŋeoðkkk 	Real IPA: bɑs
Word: branch    	Gen. IPA: ovŋeoðpok 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ovŋeoðʒək 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ovŋeoðʒðk 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ovŋeoðɛʒɝ 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ovŋeoðʒɛə 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ovŋeoðɹpk 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ovŋeooəpk 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ovŋeoɝoʊk 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ovŋeoðɛok 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ovŋeoðpŋk 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ovŋeoðʒkk 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ovŋeoðɝʊk 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ovŋeoðaək 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ovŋeoðəŋʒ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ovŋeoðpɛŋ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ovŋeoðɛðk 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ovŋeoðoʊɛ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ovŋeoðiɝo 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ovŋeoðʒŋk 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ovŋeoðoək 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ovŋeoðɛpk 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ovŋeoðpʒk 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ovŋeoðʒɛə 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ovŋeoðəpk 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ovŋeoðəʊk 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ovŋeoðəɛk 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ovŋeoðpok 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ovŋeoðʒaɝ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ovŋeoɝɹɝk 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ovŋeoðokk 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ovŋeooðʒŋ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ovŋeoðoək 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ovŋeoðooə 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ovŋeoðʒəɝ 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ovŋeoðɝðk 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ovŋeoðvɛk 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ovŋeoðpkk 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ovŋeoðekk 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ovŋeoðɛkk 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ovŋeoðɝkk 	Real IPA: ɫin
Word: loong     	Gen. IPA: ovŋeoookk 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ovŋeoɝʒɝɛ 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ovŋeooʒkk 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ovŋeooðɛð 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ovŋeoooðk 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ovŋeooəkk 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ovŋeoɝɝðɝ 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ovŋeoɝðʒk 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ovŋeɝðʒɛk 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ovŋeɝðɝkk 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ovŋeɝðɛok 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ovŋeɝðvok 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: ovŋeɝðipə 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ovŋeoðʒðk 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ovŋeoðɝɝo 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ovŋeooɝðo 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ovŋeoðθkk 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ovŋeoðθɑk 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: ovŋeoðpkk 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ovŋeooeɹk 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: ovŋeoðʒəo 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ovŋeoðpɑk 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ovŋeoðɝəð 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: ovŋeoðəɹk 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ovŋeoðpɝʊ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ovŋeoopkk 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ovŋeooʒək 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: ovŋeoðŋθk 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: ovŋeoðŋkk 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ovŋeoðŋkk 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: ovŋeoðŋoə 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: ovŋeoðəkk 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: ovŋeoðŋkk 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: ovŋeoðθʒk 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ovŋeooðʒð 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: ovŋeoɝðɛk 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ovŋeoðʒɛk 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: ovŋeðoðɛk 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: ovŋeðoɹəɛ 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: ovŋeðopɛk 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ovŋeðɝpθo 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: ovŋeoðʒɹə 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ovŋeoðʒɝk 	Real IPA: ətɝz
Word: views     	Gen. IPA: ovŋeoðəkk 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ovŋeoðoɛk 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: ovŋeoðɝŋɝ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: ovŋeoðɹɝk 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: ovŋeoðŋək 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: ovŋeoðŋkk 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ovŋeoðəkk 	Real IPA: zɝk
[11/100] - ptime: 26.80 loss_d: 3.766, loss_g: 12.339
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ʃʃʃʃʃooʃʃ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ʃʃʃʃʃʃðʃʃ 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ʃʃʃʃʃʃkkk 	Real IPA: bɑs
Word: branch    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: bɹæntʃ
