[1/100] - ptime: 15.89 loss_d: 1.365, loss_g: 0.728
[1/100] - ptime: 14.49 loss_d: 1.375, loss_g: 0.846
Word: abie  	Gen. IPA: kkkkk 	Real IPA: æbi
Word: tansy 	Gen. IPA: ntɔɝz 	Real IPA: tænzi
Word: tele  	Gen. IPA: ntɔiu 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: ntɔiv 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: ntɔiu 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: ntɔot 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: ntɔut 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: ntɔtu 	Real IPA: juɫi
Word: using 	Gen. IPA: ntɔzn 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: ntɔɝi 	Real IPA: veɪs
Word: viag  	Gen. IPA: ntɔip 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: ntɔɝi 	Real IPA: weɪks
Word: warm  	Gen. IPA: ntɔɝv 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: ntɔit 	Real IPA: wik
Word: with  	Gen. IPA: ntɔiɹ 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: ntɔou 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: ntɔɝt 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: ntɔiu 	Real IPA: jaɪks
[13/100] - ptime: 13.74 loss_d: 1.855, loss_g: 4.278
Word: abie  	Gen. IPA: iiiuu 	Real IPA: æbi
Word: aglow 	Gen. IPA: iiiii 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: iiiuu 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: iiiuu 	Real IPA: eɪm
Word: anast 	Gen. IPA: iiiii 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: iiiii 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: iiiuu 	Real IPA: ɔd
Word: babas 	Gen. IPA: iiiii 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: iiiuu 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: iiiii 	Real IPA: bæz
Word: bein  	Gen. IPA: iiiuu 	Real IPA: biɪn
Word: betta 	Gen. IPA: iiiuu 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: iiiuu 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: iiiuu 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: iiiii 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: iiiii 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: iiiuu 	Real IPA: siɫ
Word: comes 	Gen. IPA: iiiiu 	Real IPA: kəmz
Word: copp  	Gen. IPA: iiiii 	Real IPA: kɑp
Word: cowl  	Gen. IPA: iiiii 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: iiiii 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: iiiiu 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: iiiuu 	Real IPA: dɛm
Word: delft 	Gen. IPA: iiiuu 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: iiiuu 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: iiiiu 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: iiuuu 	Real IPA: ɝinə
Word: every 	Gen. IPA: iiuuu 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: iiuuu 	Real IPA: aɪz
Word: fiat  	Gen. IPA: iiiuu 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: iiiii 	Real IPA: fui
Word: gaar  	Gen. IPA: iiiii 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: iiiuu 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: iiiuu 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: iiiuu 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: iiiuu 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: iiiiu 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: iiiii 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: iiiiu 	Real IPA: hʊk
Word: ifas  	Gen. IPA: iiuuu 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: iiuuu 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: iiuuu 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: iiiii 	Real IPA: dʒæks
Word: jut   	Gen. IPA: iiiii 	Real IPA: dʒət
Word: kelm  	Gen. IPA: iiiuu 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: iiiuu 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: iiiuu 	Real IPA: kɪs
Word: kolb  	Gen. IPA: iiiii 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: iiiiu 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: iiiuu 	Real IPA: ɫijə
Word: lord  	Gen. IPA: iiiii 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: iiiii 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: iiiuu 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: iiiiu 	Real IPA: mænzi
Word: marfa 	Gen. IPA: iiiii 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: iiiii 	Real IPA: mætɪs
Word: meave 	Gen. IPA: iiiuu 	Real IPA: miv
Word: mores 	Gen. IPA: iiiiu 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: iiiii 	Real IPA: mɹək
Word: ndour 	Gen. IPA: iiiii 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: iiiii 	Real IPA: næŋ
Word: nazer 	Gen. IPA: iiiiu 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: iiiuu 	Real IPA: nɪni
Word: nods  	Gen. IPA: iiiii 	Real IPA: nɑdz
Word: novi  	Gen. IPA: iiiiu 	Real IPA: noʊvi
Word: palla 	Gen. IPA: iiiii 	Real IPA: pæɫə
Word: pense 	Gen. IPA: iiiuu 	Real IPA: pɛns
Word: pung  	Gen. IPA: iiiii 	Real IPA: pəŋ
Word: quick 	Gen. IPA: iiiuu 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: iiiiu 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: iiiii 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: iiiii 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: iiiuu 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: iiiuu 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: iiiii 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: iiiii 	Real IPA: sæm
Word: sant  	Gen. IPA: iiiii 	Real IPA: sænt
Word: searl 	Gen. IPA: iiiuu 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: iiiii 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: iiiii 	Real IPA: snup
Word: sous  	Gen. IPA: iiiii 	Real IPA: suz
Word: stac  	Gen. IPA: iiiii 	Real IPA: stæk
Word: sudan 	Gen. IPA: iiiii 	Real IPA: sudæn
Word: tansy 	Gen. IPA: iiiii 	Real IPA: tænzi
Word: tele  	Gen. IPA: iiiuu 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: iiiuu 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: iiiuu 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: iiiii 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: iiiuu 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: iiiuu 	Real IPA: juɫi
Word: using 	Gen. IPA: iiiuu 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: iiiiu 	Real IPA: veɪs
Word: viag  	Gen. IPA: iiiuu 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: iiiiu 	Real IPA: weɪks
Word: warm  	Gen. IPA: iiiii 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: iiiuu 	Real IPA: wik
Word: with  	Gen. IPA: iiiuu 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: iiiiu 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: iiiii 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: iiiuu 	Real IPA: jaɪks
[14/100] - ptime: 13.73 loss_d: 2.038, loss_g: 5.233
Word: abie  	Gen. IPA: ieeei 	Real IPA: æbi
Word: aglow 	Gen. IPA: ieeee 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: ieeee 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: ieeeɛ 	Real IPA: eɪm
Word: anast 	Gen. IPA: ieeɝe 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: ieeɝe 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: ieeee 	Real IPA: ɔd
Word: babas 	Gen. IPA: ieebe 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: ieeei 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: ieeeɛ 	Real IPA: bæz
Word: bein  	Gen. IPA: ieeee 	Real IPA: biɪn
Word: betta 	Gen. IPA: ieeee 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: ieeee 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: ieeei 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: ieeee 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: ieeee 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: ieeee 	Real IPA: siɫ
Word: comes 	Gen. IPA: ieeee 	Real IPA: kəmz
Word: copp  	Gen. IPA: ieeee 	Real IPA: kɑp
Word: cowl  	Gen. IPA: ieeee 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: ieeee 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: ieneo 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: ienee 	Real IPA: dɛm
Word: delft 	Gen. IPA: ienee 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: ienee 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: ienee 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: ieeie 	Real IPA: ɝinə
Word: every 	Gen. IPA: ieeie 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: ieeie 	Real IPA: aɪz
Word: fiat  	Gen. IPA: ieeee 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: ieeoe 	Real IPA: fui
Word: gaar  	Gen. IPA: ieeɝe 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: ieeee 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: ieeee 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: ieeee 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: ieeee 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: ieeei 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: ieeee 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: ieeoe 	Real IPA: hʊk
Word: ifas  	Gen. IPA: ieeee 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: ieeee 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: ieeze 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: ieeee 	Real IPA: dʒæks
Word: jut   	Gen. IPA: ieeeɛ 	Real IPA: dʒət
Word: kelm  	Gen. IPA: ieeee 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: ieeee 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: ieeeɛ 	Real IPA: kɪs
Word: kolb  	Gen. IPA: ieeee 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: ieeee 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: ieeee 	Real IPA: ɫijə
Word: lord  	Gen. IPA: ieeee 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: ieete 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: ieeee 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: ieeee 	Real IPA: mænzi
Word: marfa 	Gen. IPA: ieeee 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: ieeee 	Real IPA: mætɪs
Word: meave 	Gen. IPA: ieeee 	Real IPA: miv
Word: mores 	Gen. IPA: ieeee 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: ieeee 	Real IPA: mɹək
Word: ndour 	Gen. IPA: ienee 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: ienee 	Real IPA: næŋ
Word: nazer 	Gen. IPA: ienee 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: ienee 	Real IPA: nɪni
Word: nods  	Gen. IPA: ienee 	Real IPA: nɑdz
Word: novi  	Gen. IPA: ienee 	Real IPA: noʊvi
Word: palla 	Gen. IPA: ieeee 	Real IPA: pæɫə
Word: pense 	Gen. IPA: ieeee 	Real IPA: pɛns
Word: pung  	Gen. IPA: ieeee 	Real IPA: pəŋ
Word: quick 	Gen. IPA: ieeee 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: ieɔee 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: ieɔee 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: ieɔee 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: ieɔee 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: ieɔee 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: ieɔee 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: ieeee 	Real IPA: sæm
Word: sant  	Gen. IPA: ieeee 	Real IPA: sænt
Word: searl 	Gen. IPA: ieeee 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: ieeee 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: ieeee 	Real IPA: snup
Word: sous  	Gen. IPA: ieeee 	Real IPA: suz
Word: stac  	Gen. IPA: ieeee 	Real IPA: stæk
Word: sudan 	Gen. IPA: ieeen 	Real IPA: sudæn
Word: tansy 	Gen. IPA: ieeee 	Real IPA: tænzi
Word: tele  	Gen. IPA: ieeee 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: ieeee 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: ieeee 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: ieeee 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: ieeet 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: ieeee 	Real IPA: juɫi
Word: using 	Gen. IPA: ieeee 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: ieeee 	Real IPA: veɪs
Word: viag  	Gen. IPA: ieeee 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: ieeee 	Real IPA: weɪks
Word: warm  	Gen. IPA: ieeee 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: ieeee 	Real IPA: wik
Word: with  	Gen. IPA: ieeee 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: ieeee 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: ieeee 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: ieefe 	Real IPA: jaɪks
[15/100] - ptime: 13.72 loss_d: 2.020, loss_g: 4.753
Word: abie  	Gen. IPA: ppnɝi 	Real IPA: æbi
Word: aglow 	Gen. IPA: ppnɝt 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: ppnɝf 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: ppnɝi 	Real IPA: eɪm
Word: anast 	Gen. IPA: ppnɝs 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: ppnɝs 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: ppnɝi 	Real IPA: ɔd
Word: babas 	Gen. IPA: ppnbɝ 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: ppnbi 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: ppnbɡ 	Real IPA: bæz
Word: bein  	Gen. IPA: ppnbb 	Real IPA: biɪn
Word: betta 	Gen. IPA: ppnbs 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: ppnbɹ 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: ppnbi 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: ppnbo 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: ppnnn 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: ppntt 	Real IPA: siɫ
Word: comes 	Gen. IPA: ppntv 	Real IPA: kəmz
Word: copp  	Gen. IPA: ppntp 	Real IPA: kɑp
Word: cowl  	Gen. IPA: ppntt 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: ppntɝ 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: ppnoo 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: ppnɹɹ 	Real IPA: dɛm
Word: delft 	Gen. IPA: ppntt 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: ppntt 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: ppnpp 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: ppniɝ 	Real IPA: ɝinə
Word: every 	Gen. IPA: ppnif 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: ppniɛ 	Real IPA: aɪz
Word: fiat  	Gen. IPA: ppnoɝ 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: ppnoɝ 	Real IPA: fui
Word: gaar  	Gen. IPA: ppppp 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: pppnn 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: ppppɔ 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: ppppi 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: ppppi 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: ppppɔ 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: ppppo 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: ppnɹɹ 	Real IPA: hʊk
Word: ifas  	Gen. IPA: ppniɝ 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: ppnii 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: ppnii 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: ppnvt 	Real IPA: dʒæks
Word: jut   	Gen. IPA: ppnvs 	Real IPA: dʒət
Word: kelm  	Gen. IPA: ppnft 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: ppnfɔ 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: ppnfz 	Real IPA: kɪs
Word: kolb  	Gen. IPA: ppnft 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: ppntp 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: ppntt 	Real IPA: ɫijə
Word: lord  	Gen. IPA: ppntɔ 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: ppnto 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: ppnvi 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: ppnnn 	Real IPA: mænzi
Word: marfa 	Gen. IPA: ppnvɔ 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: ppnvs 	Real IPA: mætɪs
Word: meave 	Gen. IPA: ppnvɝ 	Real IPA: miv
Word: mores 	Gen. IPA: ppnvɔ 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: ppnvɝ 	Real IPA: mɹək
Word: ndour 	Gen. IPA: ppnno 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: ppnnɛ 	Real IPA: næŋ
Word: nazer 	Gen. IPA: ppnɡɡ 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: ppnnf 	Real IPA: nɪni
Word: nods  	Gen. IPA: ppnnɛ 	Real IPA: nɑdz
Word: novi  	Gen. IPA: ppnjj 	Real IPA: noʊvi
Word: palla 	Gen. IPA: ppppɝ 	Real IPA: pæɫə
Word: pense 	Gen. IPA: pppnn 	Real IPA: pɛns
Word: pung  	Gen. IPA: pppnp 	Real IPA: pəŋ
Word: quick 	Gen. IPA: ppndi 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: ppnnb 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: ppnnn 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: ppnnz 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: ppnnt 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: ppnni 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: ppnnt 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: ppnzɹ 	Real IPA: sæm
Word: sant  	Gen. IPA: ppnnn 	Real IPA: sænt
Word: searl 	Gen. IPA: ppnzɝ 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: ppnzɝ 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: ppnno 	Real IPA: snup
Word: sous  	Gen. IPA: ppnzz 	Real IPA: suz
Word: stac  	Gen. IPA: ppnzɝ 	Real IPA: stæk
Word: sudan 	Gen. IPA: ppnnn 	Real IPA: sudæn
Word: tansy 	Gen. IPA: ppnnn 	Real IPA: tænzi
Word: tele  	Gen. IPA: ppnst 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: ppnsɔ 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: ppnsb 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: ppnsz 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: ppnsi 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: ppnɝi 	Real IPA: juɫi
Word: using 	Gen. IPA: ppnɝi 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: ppnjz 	Real IPA: veɪs
Word: viag  	Gen. IPA: ppnjɝ 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: ppnzz 	Real IPA: weɪks
Word: warm  	Gen. IPA: ppnzɔ 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: ppnzz 	Real IPA: wik
Word: with  	Gen. IPA: ppnzs 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: ppnzt 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: ppnff 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: ppnfi 	Real IPA: jaɪks
[16/100] - ptime: 13.72 loss_d: 1.786, loss_g: 3.991
Word: abie  	Gen. IPA: iipnɝ 	Real IPA: æbi
Word: aglow 	Gen. IPA: iipnɝ 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: iipnɝ 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: iipnɝ 	Real IPA: eɪm
Word: anast 	Gen. IPA: iipii 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: iipni 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: iipnɝ 	Real IPA: ɔd
Word: babas 	Gen. IPA: iipni 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: iipnb 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: iipnb 	Real IPA: bæz
Word: bein  	Gen. IPA: iipnb 	Real IPA: biɪn
Word: betta 	Gen. IPA: iipnb 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: iipnb 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: iipnb 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: iipnb 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: iipib 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: iipnu 	Real IPA: siɫ
Word: comes 	Gen. IPA: iipnt 	Real IPA: kəmz
Word: copp  	Gen. IPA: iipnt 	Real IPA: kɑp
Word: cowl  	Gen. IPA: iipni 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: iipnt 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: iipin 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: iipun 	Real IPA: dɛm
Word: delft 	Gen. IPA: iipun 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: iipun 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: iipin 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: iipnu 	Real IPA: ɝinə
Word: every 	Gen. IPA: iipnu 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: iipnu 	Real IPA: aɪz
Word: fiat  	Gen. IPA: iipno 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: iipni 	Real IPA: fui
Word: gaar  	Gen. IPA: iiinp 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: iiiup 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: iiinp 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: iiinp 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: iiinp 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: iiinp 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: iiinp 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: iipnɹ 	Real IPA: hʊk
Word: ifas  	Gen. IPA: iipni 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: iipnu 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: iipni 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: iipnv 	Real IPA: dʒæks
Word: jut   	Gen. IPA: iipnv 	Real IPA: dʒət
Word: kelm  	Gen. IPA: iipnf 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: iipnf 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: iipnf 	Real IPA: kɪs
Word: kolb  	Gen. IPA: iipnf 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: iipnt 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: iipnt 	Real IPA: ɫijə
Word: lord  	Gen. IPA: iipnt 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: iipni 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: iipnv 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: iipiv 	Real IPA: mænzi
Word: marfa 	Gen. IPA: iipnv 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: iipnv 	Real IPA: mætɪs
Word: meave 	Gen. IPA: iipnv 	Real IPA: miv
Word: mores 	Gen. IPA: iipnv 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: iipnv 	Real IPA: mɹək
Word: ndour 	Gen. IPA: iipii 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: iipii 	Real IPA: næŋ
Word: nazer 	Gen. IPA: iipin 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: iipuu 	Real IPA: nɪni
Word: nods  	Gen. IPA: iipii 	Real IPA: nɑdz
Word: novi  	Gen. IPA: iipin 	Real IPA: noʊvi
Word: palla 	Gen. IPA: iiinp 	Real IPA: pæɫə
Word: pense 	Gen. IPA: iiiup 	Real IPA: pɛns
Word: pung  	Gen. IPA: iiiii 	Real IPA: pəŋ
Word: quick 	Gen. IPA: iipnd 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: iipnɔ 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: iipiɔ 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: iipnɔ 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: iipnɔ 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: iipnɔ 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: iipnɔ 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: iipnz 	Real IPA: sæm
Word: sant  	Gen. IPA: iipiz 	Real IPA: sænt
